function	dimension	avg	best	worst	std
weierstrass	1	3.4638958368304883e-15	4.440892098500626e-16	1.176836406102666e-14	5.0077827605614005e-15
weierstrass	2	6.616929226765933e-15	8.881784197001252e-16	2.353672812205332e-14	7.646721025854444e-15
weierstrass	5	2.8954616482224084e-14	1.2434497875801753e-14	5.861977570020827e-14	1.2908872050604827e-14
weierstrass	10	5.921189464667502e-14	1.4210854715202004e-14	8.171241461241152e-14	1.4743642867155807e-14
weierstrass	20	0.009241140653299833	7.815970093361102e-14	0.2772342195953712	0.049765065423257294
weierstrass	25	0.004763285971848319	1.1368683772161603e-13	0.1428985791507955	0.025651079981050803
weierstrass	50	0.3645644595906537	2.4158453015843406e-13	6.579167756419778	1.3938953245509869
weierstrass	100	0.11333108173011132	4.263256414560601e-13	1.53269057937581	0.31517211579312676
weierstrass	200	5.1516817072414405	1.0800249583553523e-12	54.256306786308016	10.951942480442314
weierstrass	500	24.348769317398386	2.7284841053187847e-12	93.76190312558083	27.63589467195659
